LabNumber	SiteProvince	DistrictName	EpiWeek	SampleCollectionDate	Sequence_ID	SiteName	Lineages	Abundances
COV-22-231	Gauteng	Tshwane MM	33.0	2022-08-17	COV-22-231	Daspoort Wastewater Treatment Works	BA.5.X BA.4.X BA.2.X XBB.X Delta Recombinants Other	[0.6592466100000002, 0.22880704, 0.00011460000000000001, 3.43e-05, 9.200000000000001e-07, 0.11179684999999999, 1.2e-06]
COV-24-1009	Gauteng	Ekurhuleni MM	21.0	2024-05-20	COV-24-1009	Sasol Garage	JN.1.X BA.2.86.X KP.1.X LB.1.3.X Recombinants	[0.99937126, 0.00019598, 7.84e-05, 6.051e-05, 0.00029378]
NIC-22-0610	Gauteng	Johannesburg MM	30.0	2022-07-26	NIC-22-0610	Goudkoppies Wastewater Treatment Works	BA.4.X BA.5.X BA.2.X Recombinants Other	[0.7913952399999999, 0.20827793, 0.00012361999999999999, 0.00015211, 5.101e-05]
COV-24-0922	Gauteng	Ekurhuleni MM	19.0	2024-05-09	COV-24-0922	Namane Drive	JN.1.X BA.2.86.X Recombinants Other	[0.9998624299999991, 7.897999999999999e-05, 5.826e-05, 2.6e-07]
COV-22-294	Gauteng	Johannesburg MM	42.0	2022-10-18	COV-22-294	Goudkoppies Wastewater Treatment Works	BA.5.X BA.4.X BA.2.X Recombinants Other	[0.84750698, 0.08709769, 0.00011563, 0.06512789000000001, 0.00015179]
COV-22-84	Gauteng	Johannesburg MM	11.0	2022-03-14	COV-22-84	Goudkoppies Wastewater Treatment Works	BA.2.X BA.1.X BA.5.X Other Recombinants	[0.3359567799999999, 0.15636206999999994, 0.12939021000000003, 0.24535105000000007, 0.13293992000000002]
COV-24-0431	Gauteng	Johannesburg MM	10.0	2024-03-05	COV-24-0431	Goudkoppies Wastewater Treatment Works	JN.1.X BA.2.86.X KP.3.X LB.1.3.X KP.1.X Delta XBB.X Recombinants Other	[0.6148055500000004, 0.3844278199999999, 0.00022794, 0.00012008, 0.00010046000000000001, 2.771e-05, 2.1e-07, 0.00022071, 0.00013922]
COV-22-123	Gauteng	Ekurhuleni MM	15.0	2022-04-12	COV-22-123	Hartebeesfontein Waterworks	BA.4.X BA.5.X BA.2.X KP.1.X XBB.1.5.X Delta Recombinants Other	[0.6206219999999998, 0.28352077999999986, 0.09514815000000001, 3.151e-05, 2.717e-05, 2.196e-05, 0.00037948999999999996, 0.00024895]
COV-24-0384	Gauteng	Johannesburg MM	9.0	2024-02-28	COV-24-0384	Klipsruit Yard (Before tunnel)	JN.1.X BA.2.86.X LB.1.3.X Recombinants Other	[0.6689055799999999, 0.33064626, 1.65e-06, 0.00044622, 1.64e-06]
COV-23-142	Gauteng	Johannesburg MM	19.0	2023-05-04	COV-23-142	Chris Hani Baragwanath Hospital	XBB.1.5.X XBB.X Other Recombinants	[0.9996809000000001, 0.00010414, 0.000163, 5.199e-05]
COV-23-1047	Gauteng	Johannesburg MM	43.0	2023-10-24	COV-23-1047	Goudkoppies Wastewater Treatment Works	XBB.X BA.2.86.X JN.1.X	[0.99672665, 0.00248217, 0.0007911400000000001]
COV-23-0913	Gauteng	Tshwane MM	40.0	2023-10-03	COV-23-0913	Groenkloof	BA.2.86.X XBB.X BA.2.X JN.1.X BA.5.X Recombinants Other	[0.96012021, 0.03730164, 0.00177809, 0.00016949, 0.000112, 0.00035053, 0.0001681]
COV-24-0179	Eastern Cape	Buffalo City MM	5.0	2024-01-31	COV-24-0179	Mdantsane Wastewater Treatment Works	BA.2.86.X	[0.99924504]
NIC-22-1035	Gauteng	Ekurhuleni MM	49.0	2022-12-06	NIC-22-1035	Hartebeesfontein Waterworks	BA.5.X BA.2.X Recombinants Other	[0.9995158600000007, 6.960999999999999e-05, 0.00026285999999999996, 0.00030314000000000003]
COV-24-0657	Gauteng	Tshwane MM	14.0	2024-04-05	COV-24-0657	Daspoort Wastewater Treatment Works	JN.1.X BA.2.86.X LB.1.3.X BA.2.X XBB.1.5.X Delta XBB.X BA.5.X Recombinants Other	[0.99934662, 0.00014796, 0.00012722, 0.00011897, 7.787e-05, 9.3e-07, 8e-07, 7.4e-07, 0.0001803, 8.639999999999999e-06]
COV-23-0976	Free State	Mangaung MM	41.0	2023-10-10	COV-23-0976	Sterkwater Wastewater Treatment Works	BA.2.86.X XBB.X XBB.1.5.X BA.5.X BA.1.X Other Recombinants	[0.6165689999999999, 0.38136468, 0.0013828199999999999, 0.00011121, 5.695e-05, 0.00041284, 0.0001025]
COV-24-0002	Free State	Mangaung MM	1.0	2024-01-02	COV-24-0002	Sterkwater Wastewater Treatment Works	BA.2.86.X Other	[0.115385, 0.8846149999999999]
COV-22-89	Gauteng	Tshwane MM	11.0	2022-03-15	COV-22-89	Rooiwal Wastewater Treatment Works	BA.2.X Delta BA.2.12.X BA.5.X Recombinants Other	[0.68407756, 0.00016209, 0.00012129, 9.821e-05, 0.31544875, 9.185e-05]
COV-23-675	Gauteng	Johannesburg MM	33.0	2023-08-16	COV-23-675	Bushkoppies Inlet	XBB.1.5.X BA.2.86.X XBB.X BA.2.X KP.3.X Delta BA.5.X JN.1.X Other	[0.4941196199999999, 0.23338986, 0.21223383999999998, 0.06026111000000001, 2.4999999999999998e-06, 7.000000000000001e-07, 1.42e-06, 1.16e-06, 1.096e-05]
COV-23-145	Gauteng	Johannesburg MM	19.0	2023-05-08	COV-23-145	Other	XBB.X XBB.1.5.X Delta Other Recombinants	[0.99973058, 0.00017013, 3.039e-05, 5.761e-05, 1.13e-05]
COV-22-137	Eastern Cape	Buffalo City MM	16.0	2022-04-19	COV-22-137	East Bank Wastewater Treatment Works	BA.4.X BA.5.X BA.2.X Delta Recombinants Other	[0.800782, 0.1973271, 0.00054566, 4.084e-05, 0.0011852399999999997, 0.00011915999999999999]
NIC-22-0104	Eastern Cape	Nelson Mandela Bay MM	10.0	2022-03-08	NIC-22-0104	Brickfield Pre-treatment Works	BA.2.X BA.5.X XBB.X Other Recombinants	[0.9997980499999999, 5.523e-05, 2.473e-05, 8.800000000000001e-05, 3.4e-05]
NIC-22-0764	KwaZulu-Natal	Ethekwini MM	39.0	2022-09-26	NIC-22-0764	Central Wastewater Treatment Works (KZN)	BA.5.X BA.2.X Recombinants Other	[0.8479170800000001, 0.00019168, 0.15181919, 7.2e-05]
COV-23-0950	Gauteng	Johannesburg MM	40.0	2023-10-04	COV-23-0950	Goudkoppies Wastewater Treatment Works	BA.2.86.X XBB.1.5.X XBB.X BA.2.X Delta BA.5.X Recombinants Other	[0.37164797, 0.25713135000000004, 0.22069995, 0.12653018, 2.7e-07, 4.3e-07, 0.02399031, 2.12e-06]
COV-22-196	Gauteng	Tshwane MM	29.0	2022-07-20	COV-22-196	Rooiwal Wastewater Treatment Works	BA.5.X BA.4.X BA.2.X Recombinants Other	[0.9499113399999999, 0.04904316, 0.0005267000000000001, 0.00038982, 0.00012900000000000002]
COV-23-0729	Eastern Cape	Buffalo City MM	34.0	2023-08-24	COV-23-0729	Mdantsane Wastewater Treatment Works	XBB.X BA.2.X XBB.1.5.X BA.5.X Recombinants Other	[0.9953617300000001, 0.00048961, 0.00023871, 3.8999999999999997e-07, 0.00390985, 1.62e-06]
COV-22-336	Free State	Mangaung MM	47.0	2022-11-22	COV-22-336	Sterkwater Wastewater Treatment Works	BA.5.X BA.1.X Delta BA.2.X XEC.X Recombinants Other	[0.9992956699999995, 5.232e-05, 3.446e-05, 2.114e-05, 8.46e-06, 0.00014209, 0.0008916]
COV-24-0071	Free State	Mangaung MM	3.0	2024-01-16	COV-24-0071	Bloemspruit Wastewater Treatment Works	JN.1.X	[0.99999999]
