,Other,Recombinants,Delta,BA.1.X,BA.2.X,BA.2.12.X,BA.4.X,BA.5.X,XBB.X,XBB.1.5.X,BA.2.86.X,JN.1.X,KP.1.X,KP.3.X,LB.1.3.X,LB.1.3.4.X,XEC.X,LP.8.1.X,XFG.X,NB.1.8.1.X,BA.3.2.X
2022-02-27,0.024286151875000054,0.114966626875,0.00019626187499999998,0.005181781250000001,0.8062925575,0.0044809475,0.04434134875,0.00020269062500000002,4.0429375e-05,7.2199999999999995e-06,0.0,0.0,0.0,3.9843749999999994e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-02-28,0.024286151875000054,0.114966626875,0.00019626187499999998,0.005181781250000001,0.8062925575,0.0044809475,0.04434134875,0.00020269062500000002,4.0429375e-05,7.2199999999999995e-06,0.0,0.0,0.0,3.9843749999999994e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-01,0.014780479411764772,0.11601650294117649,0.05898329882352943,0.014074739411764703,0.7423335882352939,0.004219736470588235,0.04174379117647059,0.0077976694117647075,4.0488235294117655e-05,5.955882352941176e-06,0.0,0.0,0.0,3.7499999999999997e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-02,0.01671799733333339,0.096735198,0.06685151000000003,0.01042416533333333,0.7483291799999999,0.004782819333333334,0.04730127533333334,0.008802596000000003,4.421266666666668e-05,6.796000000000001e-06,0.0,0.0,0.0,4.25e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-03,0.01671799733333339,0.096735198,0.06685151000000003,0.010424165333333329,0.7483291799999999,0.004782819333333334,0.04730127533333334,0.008802596000000003,4.421266666666668e-05,6.796000000000001e-06,0.0,0.0,0.0,4.25e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-04,0.01671799733333339,0.096735198,0.06685151000000003,0.010424165333333329,0.7483291799999999,0.004782819333333334,0.04730127533333334,0.008802596000000003,4.421266666666668e-05,6.796000000000001e-06,0.0,0.0,0.0,4.25e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-05,0.01671799733333339,0.096735198,0.06685151000000003,0.010424165333333329,0.7483291799999999,0.004782819333333334,0.04730127533333334,0.008802596000000003,4.421266666666668e-05,6.796000000000001e-06,0.0,0.0,0.0,4.25e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-06,0.01671799733333339,0.096735198,0.06685151000000003,0.010424165333333329,0.7483291799999999,0.004782819333333334,0.04730127533333334,0.008802596000000003,4.421266666666668e-05,6.796000000000001e-06,0.0,0.0,0.0,4.25e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-07,0.01671799733333339,0.096735198,0.06685151000000003,0.010424165333333329,0.7483291799999999,0.004782819333333334,0.04730127533333334,0.008802596000000003,4.421266666666668e-05,6.796000000000001e-06,0.0,0.0,0.0,4.25e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-08,0.01671799733333339,0.096735198,0.06685151000000003,0.010424165333333329,0.7483291799999999,0.004782819333333334,0.04730127533333334,0.008802596000000003,4.421266666666668e-05,6.796000000000001e-06,0.0,0.0,0.0,4.25e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0
